y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
21,16,0.8000000000000002,0.8546720346320348,0.0,0.8000000000000002,0.11626237229437231,-0.3837376277056277
20,15,0.8000000000000002,0.8870480000000001,0.0,0.8000000000000002,0.09036160000000004,-0.40963839999999996
21,17,0.728,0.8018677489177489,0.0,0.728,0.08650580086580084,-0.41349419913419916
19,15,0.8000000000000002,0.89204,0.0,0.8000000000000002,0.08636800000000011,-0.4136319999999999
10,21,0.752,0.8337322597402599,0.0,0.752,0.08501419220779205,-0.41498580779220795
19,17,0.7760000000000001,0.8650824761904762,0.0,0.7760000000000001,0.0839340190476191,-0.4160659809523809
10,20,0.7760000000000001,0.8657718181818183,0.0,0.7760000000000001,0.08338254545454549,-0.4166174545454545
16,0,0.7200000000000002,0.7998529148629147,0.01449275362835539,0.7200000000000002,0.08011766810966847,-0.41263595507615386
0,30,0.8,0.9022592592592592,0.0,0.8,0.07819259259259259,-0.4218074074074074
17,0,0.7600000000000002,0.8524707936507935,0.0057971014519218635,0.7600000000000002,0.07802336507936536,-0.4190780841946737
