risk_budget,feasible,lambda,geometric_length,fused_mean,fused_sum,total_cost
0.4,True,0.0,70.0,0.3999999999999998,28.399999999999988,70.0
0.3,True,0.1,70.0,0.228988148811754,16.258158565634538,71.58581585656347
0.25,True,0.1,70.0,0.228988148811754,16.258158565634538,71.58581585656347
0.23,True,0.1,70.0,0.228988148811754,16.258158565634538,71.58581585656347
0.22,False,,,,,
