trial,policy,num_robots,num_targets,risk_mode,total_distance,mean_distance,total_risk,mean_risk,max_risk,total_cost
0,uniform_risk,3,6,clustered_high,7.549088319349606,2.5163627731165352,0.7333270198739759,0.24444233995799194,0.40290962591640395,9.015742359097557
0,explorer_monitor,3,6,clustered_high,7.549088319349606,2.5163627731165352,0.7333270198739759,0.24444233995799194,0.40290962591640395,8.768312232992935
0,all_conservative,3,6,clustered_high,8.441290820634581,2.8137636068781937,0.5413783038002071,0.18045943460006905,0.2526776440516812,11.689560643435824
1,uniform_risk,3,6,mixed,2.0833278128557793,0.6944426042852597,1.6917211346940964,0.5639070448980321,0.8617069003107772,5.466770082243972
1,explorer_monitor,3,6,mixed,4.7331586849498235,1.577719561649941,0.8758386180389813,0.29194620601299376,0.552040631273227,6.0244440570658835
1,all_conservative,3,6,mixed,5.6855294289241165,1.8951764763080388,0.6776569918525167,0.2258856639508389,0.552040631273227,9.751471380039217
2,uniform_risk,3,6,clustered_high,8.269693553301005,2.7565645177670017,0.8401254794958184,0.28004182649860615,0.4714548571675272,9.949944512292642
2,explorer_monitor,3,6,clustered_high,8.269693553301005,2.7565645177670017,0.8401254794958184,0.28004182649860615,0.4714548571675272,10.118102594312752
2,all_conservative,3,6,clustered_high,9.512159258474608,3.170719752824869,0.5263971463578321,0.1754657154526107,0.1897277208788239,12.670542136621599
3,uniform_risk,3,6,mixed,13.720230085249938,4.573410028416646,1.4262732684263817,0.4754244228087939,0.9975376064951103,16.5727766221027
3,explorer_monitor,3,6,mixed,13.770872764412427,4.590290921470809,1.4262732684263817,0.4754244228087939,0.9975376064951103,16.336032765608124
3,all_conservative,3,6,mixed,14.79168443401619,4.930561478005397,0.9901037960944221,0.3300345986981407,0.5613681341631508,20.73230721058272
4,uniform_risk,3,6,clustered_high,7.083060147932936,2.3610200493109788,0.6698153753564224,0.22327179178547416,0.42775068391577725,8.422690898645781
4,explorer_monitor,3,6,clustered_high,7.083060147932936,2.3610200493109788,0.6698153753564224,0.22327179178547416,0.42775068391577725,8.448604028000332
4,all_conservative,3,6,clustered_high,7.083060147932936,2.3610200493109788,0.6698153753564224,0.22327179178547416,0.42775068391577725,11.101952400071472
5,uniform_risk,3,6,mixed,12.00979276484592,4.003264254948641,0.9041807838192979,0.3013935946064326,0.7606021652572316,13.818154332484518
5,explorer_monitor,3,6,mixed,12.00979276484592,4.003264254948641,0.9041807838192979,0.3013935946064326,0.7606021652572316,15.253705210931102
5,all_conservative,3,6,mixed,12.00979276484592,4.003264254948641,0.9041807838192979,0.3013935946064326,0.7606021652572316,17.43487746776171
6,uniform_risk,3,6,clustered_high,5.267573039416361,1.7558576798054537,0.5618949239622075,0.18729830798740252,0.3344888891481403,6.391362887340777
6,explorer_monitor,3,6,clustered_high,5.267573039416361,1.7558576798054537,0.5618949239622075,0.18729830798740252,0.3344888891481403,6.947991997121279
6,all_conservative,3,6,clustered_high,5.267573039416361,1.7558576798054537,0.5618949239622075,0.18729830798740252,0.3344888891481403,8.638942583189605
7,uniform_risk,3,6,mixed,9.883468377582957,3.294489459194319,0.8080566585027151,0.26935221950090504,0.33930260539496315,11.499581694588388
7,explorer_monitor,3,6,mixed,9.883468377582957,3.294489459194319,0.8080566585027151,0.26935221950090504,0.33930260539496315,11.717369378527305
7,all_conservative,3,6,mixed,9.883468377582957,3.294489459194319,0.8080566585027151,0.26935221950090504,0.33930260539496315,14.731808328599248
8,uniform_risk,3,6,clustered_high,4.136127850509156,1.3787092835030519,0.9257356746906549,0.3085785582302183,0.4977113447463569,5.987599199890466
8,explorer_monitor,3,6,clustered_high,4.136127850509156,1.3787092835030519,0.9257356746906549,0.3085785582302183,0.4977113447463569,6.161135308770346
8,all_conservative,3,6,clustered_high,4.136127850509156,1.3787092835030519,0.9257356746906549,0.3085785582302183,0.4977113447463569,9.690541898653084
9,uniform_risk,3,6,mixed,6.188130353659954,2.062710117886651,1.800172479085206,0.6000574930284021,0.8902873141294375,9.788475311830366
9,explorer_monitor,3,6,mixed,6.188130353659954,2.062710117886651,1.800172479085206,0.6000574930284021,0.8902873141294375,11.436749823019454
9,all_conservative,3,6,mixed,7.360950251666112,2.453650083888704,1.5292666752878716,0.5097555584292905,0.8527198920482854,16.53655030339334
10,uniform_risk,3,6,clustered_high,8.07748424201464,2.692494747338213,1.2755044187504265,0.4251681395834755,0.4992272204272212,10.628493079515493
10,explorer_monitor,3,6,clustered_high,8.07748424201464,2.692494747338213,1.2755044187504265,0.4251681395834755,0.4992272204272212,11.29110240888995
10,all_conservative,3,6,clustered_high,8.726998229423646,2.908999409807882,1.1522094445304065,0.38406981484346886,0.44043208684321977,15.640254896606086
11,uniform_risk,3,6,mixed,7.409952374807391,2.469984124935797,0.41132445045928856,0.1371081501530962,0.20359731232745293,8.232601275725969
11,explorer_monitor,3,6,mixed,7.409952374807391,2.469984124935797,0.41132445045928856,0.1371081501530962,0.20359731232745293,8.37116014885144
11,all_conservative,3,6,mixed,7.409952374807391,2.469984124935797,0.41132445045928856,0.1371081501530962,0.20359731232745293,9.877899077563121
12,uniform_risk,3,6,clustered_high,8.427543425093427,2.809181141697809,0.7503287203458378,0.25010957344861257,0.39806115244402085,9.9282008657851
12,explorer_monitor,3,6,clustered_high,8.768841880605242,2.922947293535081,0.7503287203458378,0.25010957344861257,0.39806115244402085,10.10840003231831
12,all_conservative,3,6,clustered_high,8.427543425093427,2.809181141697809,0.7503287203458378,0.25010957344861257,0.39806115244402085,12.929515747168452
