pair_id,start_y,start_x,goal_y,goal_x,I_start,I_goal,fixed_tau0,fixed_success,fixed_expansions,fixed_cost,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_expansions,safe_cost,safe_reason,mm_feasible,tau_star,tau_request,mm_iters,mm_success,mm_expansions,mm_cost,fixed_failure_type,safe_failure_type,mm_failure_type
0,38,22,25,19,0.8596,0.2526666666666666,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8600000000000001,0.06,55,16.0,relaxed tau to minimal feasible threshold,1,0.86328125,0.87328125,8,1,56,16.0,START_VIOLATES,NONE,NONE
1,28,1,36,24,1.0,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,216,31.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,216,31.0,START_VIOLATES,NONE,NONE
2,23,22,31,24,0.2551428571428571,0.856,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8600000000000001,0.06,17,10.0,relaxed tau to minimal feasible threshold,1,0.859375,0.869375,8,1,21,10.0,GOAL_VIOLATES,NONE,NONE
3,34,5,9,7,1.0,0.25,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,78,27.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,78,27.0,START_VIOLATES,NONE,NONE
4,2,8,12,9,1.0,0.2522105263157895,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,22,11.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,22,11.0,START_VIOLATES,NONE,NONE
5,11,21,35,25,0.883,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8900000000000001,0.09,114,28.0,relaxed tau to minimal feasible threshold,1,0.88671875,0.89671875,8,1,115,28.0,START_VIOLATES,NONE,NONE
6,37,12,0,6,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,266,43.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,266,43.0,START_VIOLATES,NONE,NONE
7,20,15,33,20,0.6,0.2505,0.8,0,6,inf,no path under irreversibility constraint,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,84,18.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,84,18.0,NO_PATH_CONSTRAINT,NONE,NONE
8,5,12,32,21,0.2544,0.25024,0.8,0,112,inf,no path under irreversibility constraint,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,101,36.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,101,36.0,NO_PATH_CONSTRAINT,NONE,NONE
9,4,27,19,5,0.2522105263157895,0.8662857142857142,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,305,37.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,305,37.0,GOAL_VIOLATES,NONE,NONE
10,33,14,12,13,1.0,0.8613333333333333,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,44,22.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,44,22.0,START_VIOLATES,NONE,NONE
11,14,0,11,12,0.87,0.25375,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8700000000000001,0.07,50,15.0,relaxed tau to minimal feasible threshold,1,0.87109375,0.88109375,8,1,51,15.0,START_VIOLATES,NONE,NONE
12,29,15,10,13,1.0,0.25375,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,60,21.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,60,21.0,START_VIOLATES,NONE,NONE
13,40,18,18,7,1.0,0.883,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,276,33.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,276,33.0,START_VIOLATES,NONE,NONE
14,19,18,20,21,0.8752,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08,8,4.0,relaxed tau to minimal feasible threshold,1,0.87890625,0.88890625,8,1,8,4.0,START_VIOLATES,NONE,NONE
15,23,27,22,21,1.0,0.2526666666666666,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,14,7.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,14,7.0,START_VIOLATES,NONE,NONE
16,20,27,40,25,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,63,22.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,63,22.0,START_VIOLATES,NONE,NONE
17,33,3,32,15,1.0,0.95,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,26,13.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,26,13.0,START_VIOLATES,NONE,NONE
18,28,22,25,15,0.25375,1.0,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,32,10.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,32,10.0,GOAL_VIOLATES,NONE,NONE
19,13,30,40,16,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,420,41.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,420,41.0,START_VIOLATES,NONE,NONE
20,19,3,8,25,0.8662857142857142,0.2522105263157895,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,155,33.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,155,33.0,START_VIOLATES,NONE,NONE
21,34,20,6,17,0.25024,0.25024,0.8,1,134,41.0,ok,1,NORMAL,0.8,0.0,134,41.0,ok,1,0.25390625,0.26390625,8,1,134,41.0,NONE,NONE,NONE
22,35,4,25,3,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,22,11.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,22,11.0,START_VIOLATES,NONE,NONE
23,4,21,1,24,0.2526666666666666,0.883,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8900000000000001,0.09,13,6.0,relaxed tau to minimal feasible threshold,1,0.88671875,0.89671875,8,1,16,6.0,GOAL_VIOLATES,NONE,NONE
24,18,7,1,14,0.883,0.95,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,113,24.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,113,24.0,START_VIOLATES,NONE,NONE
25,5,24,21,3,0.2510909090909091,1.0,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,374,37.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,374,37.0,GOAL_VIOLATES,NONE,NONE
26,39,24,19,3,0.8959999999999999,0.8662857142857142,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,400,59.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,400,59.0,START_VIOLATES,NONE,NONE
27,33,4,37,18,1.0,0.2581818181818182,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,75,18.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,75,18.0,START_VIOLATES,NONE,NONE
28,33,23,25,24,0.2507826086956521,0.8752,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08,18,9.0,relaxed tau to minimal feasible threshold,1,0.87890625,0.88890625,8,1,18,9.0,GOAL_VIOLATES,NONE,NONE
29,18,3,21,2,0.2596,1.0,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,8,4.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,8,4.0,GOAL_VIOLATES,NONE,NONE
30,10,28,20,11,0.87,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,198,27.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,198,27.0,START_VIOLATES,NONE,NONE
31,15,17,10,4,1.0,0.2510909090909091,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,84,18.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,84,18.0,START_VIOLATES,NONE,NONE
32,40,22,0,14,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,369,48.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,369,48.0,START_VIOLATES,NONE,NONE
33,3,30,7,27,0.883,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8900000000000001,0.09,19,7.0,relaxed tau to minimal feasible threshold,1,0.88671875,0.89671875,8,1,20,7.0,START_VIOLATES,NONE,NONE
34,39,22,28,11,0.8752,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,144,22.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,144,22.0,START_VIOLATES,NONE,NONE
35,36,4,8,6,1.0,0.25024,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,87,30.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,87,30.0,START_VIOLATES,NONE,NONE
36,29,17,15,4,0.8634999999999999,0.2510909090909091,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.1500000000000001,286,45.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,286,45.0,START_VIOLATES,NONE,NONE
37,20,1,0,4,0.922,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,84,23.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,84,23.0,START_VIOLATES,NONE,NONE
38,25,9,34,0,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.2000000000000001,100,18.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,100,18.0,START_VIOLATES,NONE,NONE
