lambda,found_path,total_cost,length_cells,geometric_length,fused_sum,fused_mean,fused_max
0.0,True,70.0,71,70.0,28.399999999999988,0.39999999999999986,0.4
0.1,True,71.58581585656347,71,70.0,16.258158565634538,0.22898814881175406,0.4
0.3,True,74.75744756969043,71,70.0,16.258158565634538,0.22898814881175406,0.4
0.5,True,77.92907928281727,71,70.0,16.258158565634538,0.22898814881175406,0.4
0.7,True,81.10071099594417,71,70.0,16.258158565634538,0.22898814881175406,0.4
1.0,True,85.85815856563457,71,70.0,16.258158565634538,0.22898814881175406,0.4
