y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
6,4,0.5359999999999999,0.264314283982684,0.857142857144898,0.5359999999999999,0.32454857281385274,0.25312000138630175
5,5,0.5359999999999999,0.26514493333333333,0.857142857144898,0.5359999999999999,0.32388405333333325,0.25245548190578226
18,3,0.5840000000000001,0.2694242305764411,0.7000000000042857,0.5840000000000001,0.3684606155388472,0.21846061554099006
18,4,0.5840000000000001,0.266133373433584,0.6857142857187755,0.5840000000000001,0.3710933012531329,0.21395044411252062
5,8,0.512,0.26073999780339013,0.8142857142883674,0.512,0.3034080017572879,0.21055085890147157
10,1,0.4999999999999999,0.2605087145001541,0.8357142857166325,0.4999999999999999,0.29159302839987655,0.20945017125819282
18,5,0.5840000000000001,0.2693032781954887,0.6714285714332654,0.5840000000000001,0.36855737744360906,0.20427166316024176
7,4,0.46399999999999997,0.25891024715403943,0.8428571428593878,0.46399999999999997,0.2568718022767684,0.17830037370646235
5,6,0.4639999999999999,0.2614589043478261,0.8428571428593878,0.4639999999999999,0.254832876521739,0.17626144795143295
10,2,0.46399999999999997,0.2586492746304263,0.8285714285738776,0.46399999999999997,0.25708058029565894,0.17136629458259772
