method,thr_star,FPR_star,TPR_star,ROC_AUC,detect_rate,delay_mean_steps,delay_median_steps,delay_p90_steps
raw_nis,8.36851333904353,0.009583333333333333,0.020196078431372548,0.5604361519607843,0.9666666666666667,63.55172413793103,65.0,107.99999999999997
ewma,2.2979339096192786,0.009583333333333333,0.28568627450980394,0.8713002450980392,1.0,63.53333333333333,60.0,113.10000000000002
cusum,49.286081422678514,0.009583333333333333,0.600392156862745,0.9317908088235294,1.0,65.6,67.0,113.1
