pair_id,start_y,start_x,goal_y,goal_x,I_start,I_goal,fixed_tau0,fixed_success,fixed_expansions,fixed_cost,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_expansions,safe_cost,safe_reason,mm_feasible,tau_star,tau_request,mm_iters,mm_success,mm_expansions,mm_cost
49,25,4,35,22,1.0,0.25024,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,209,28.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,209,28.0
50,28,3,14,25,1.0,0.856,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,345,36.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,345,36.0
51,26,11,24,16,1.0,0.9219999999999999,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,18,7.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,18,7.0
52,4,13,2,13,0.2544,0.87,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8700000000000001,0.07000000000000006,3,2.0,relaxed tau to minimal feasible threshold,1,0.87109375,0.88109375,8,1,3,2.0
53,27,2,15,27,1.0,0.9219999999999999,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,338,37.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,338,37.0
54,24,16,13,7,0.9219999999999999,0.2518,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,175,36.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,175,36.0
55,9,7,6,4,0.25,0.257,0.8,1,15,6.0,ok,1,NORMAL,0.8,0.0,15,6.0,ok,1,0.2578125,0.2678125,8,1,15,6.0
56,15,19,33,14,0.8959999999999999,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,114,23.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,114,23.0
57,16,13,15,17,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,10,5.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,10,5.0
58,23,18,40,3,0.8581818181818182,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,288,32.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,288,32.0
59,16,2,24,5,0.856,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,36,11.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,36,11.0
