mu,success,cost,expansions,path_len,maxI,meanI,meanR,reason
0.0,1,78.04914009797805,539,47,0.95,0.34644152908874115,0.041628122109198404,ok
0.25,1,88.68588272205268,586,47,0.95,0.3467399011302887,0.09713228492177131,ok
0.5,1,98.9453689013418,596,45,0.95,0.39160379148185637,0.10144927536273893,ok
1.0,1,119.16276020568016,608,45,0.95,0.39160379148185637,0.10144927536273893,ok
2.0,1,159.13488926085176,623,45,0.95,0.43573855876250595,0.15072463768233565,ok
3.0,1,197.35228056514669,631,45,0.95,0.43573855876250595,0.15072463768233565,ok
