y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
27,8,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
4,12,0.56,0.7147373151059466,0.25913043478351605,0.56,-0.011789852084757246,-0.3822246346929992
9,14,0.44000000000000006,0.5820999393939394,0.3043478260911153,0.44000000000000006,-0.02567995151515151,-0.37350603846959385
23,21,0.36800000000000005,0.42274214882125094,0.0,0.36800000000000005,0.029806280942999253,-0.47019371905700075
11,10,0.29600000000000004,0.3487210794111529,0.5217391304486201,0.29600000000000004,0.017023136471077727,-0.22210729830461223
32,15,0.7760000000000001,0.9207434632034632,0.0,0.7760000000000001,0.03940522943722946,-0.46059477056277054
11,4,0.248,0.2993479911371081,0.31304347828725904,0.248,0.008521607090313521,-0.33495665376605693
0,9,0.8000000000000003,0.9878666666666668,0.0,0.8000000000000003,0.009706666666666752,-0.49029333333333325
37,27,0.728,0.8516617254901959,0.0,0.728,0.046670619607843244,-0.45332938039215676
23,7,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
22,22,0.48800000000000004,0.5478494042325065,0.0,0.48800000000000004,0.04972047661399481,-0.4502795233860052
32,9,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
8,0,0.7200000000000001,0.8191533910533909,0.03768115942444864,0.7200000000000001,0.06467728715728727,-0.41648213313048843
17,5,0.48800000000000004,0.5492195372924289,0.06260869567206048,0.48800000000000004,0.04862437016605692,-0.4200712819979128
28,13,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
22,28,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
23,24,0.728,0.8470731428571427,0.0,0.728,0.05034148571428576,-0.44965851428571424
36,8,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
10,16,0.6560000000000001,0.7969844614209319,0.0,0.6560000000000001,0.018412430863254503,-0.4815875691367455
14,30,0.8000000000000003,0.9878666666666667,0.0,0.8000000000000003,0.009706666666666863,-0.49029333333333314
33,0,0.8000000000000003,1.0,0.0,0.8000000000000003,2.220446049250313e-16,-0.4999999999999998
4,17,0.32,0.4882673666854885,0.0,0.32,-0.0706138933483908,-0.5706138933483909
37,6,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
19,4,0.6560000000000001,0.7514205714285714,0.015652173922797732,0.6560000000000001,0.0548635428571429,-0.43731037018145824
15,20,0.6560000000000001,0.7524058665648077,0.0,0.6560000000000001,0.05407530674815397,-0.445924693251846
2,30,0.7200000000000002,0.8075355555555556,0.0,0.7200000000000002,0.07397155555555568,-0.4260284444444443
1,13,0.7700000000000001,0.9411042857142856,0.0,0.7700000000000001,0.017116571428571592,-0.4828834285714284
32,21,0.22400000000000003,0.2752722130422545,0.0,0.22400000000000003,0.0037822295661963934,-0.4962177704338036
30,17,0.6560000000000001,0.7487385787999409,0.0,0.6560000000000001,0.05700913696004739,-0.4429908630399526
25,14,0.8000000000000002,0.98336,0.0,0.8000000000000002,0.013312000000000102,-0.4866879999999999
35,3,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
13,7,0.3440000000000001,0.3981345179957566,0.2973913043679395,0.3440000000000001,0.025492385603394785,-0.3258119622126355
31,12,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
13,3,0.272,0.32457596936470445,0.2069565217683932,0.272,0.012339224508236435,-0.38418251460756697
39,3,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
0,1,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
35,1,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
18,3,0.5840000000000001,0.6534242305764412,0.031304347840378076,0.5840000000000001,0.061260615538847096,-0.4230872105409639
3,28,0.536,0.6018178837910866,0.0,0.536,0.05454569296713074,-0.44545430703286926
26,27,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
12,20,0.7760000000000001,0.8870600346320345,0.0,0.7760000000000001,0.06635197229437251,-0.4336480277056275
22,25,0.8000000000000002,0.9447192727272727,0.0,0.8000000000000002,0.044224581818181896,-0.4557754181818181
38,5,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
8,29,0.6800000000000002,0.7650515359923873,0.0,0.6800000000000002,0.06795877120609028,-0.4320412287939097
30,14,0.8000000000000002,0.97824,0.0,0.8000000000000002,0.01740800000000009,-0.4825919999999999
21,16,0.8000000000000002,0.8546720346320348,0.0,0.8000000000000002,0.11626237229437231,-0.3837376277056277
28,12,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
19,17,0.7760000000000001,0.8650824761904762,0.0,0.7760000000000001,0.0839340190476191,-0.4160659809523809
0,23,0.8000000000000003,0.9046010101010099,0.0,0.8000000000000003,0.07631919191919234,-0.42368080808080766
19,18,0.704,0.8120824155844154,0.0,0.704,0.05433406753246761,-0.4456659324675324
28,14,0.8000000000000002,0.9786800000000001,0.0,0.8000000000000002,0.01705600000000007,-0.48294399999999993
31,0,0.8000000000000003,1.0,0.0,0.8000000000000003,2.220446049250313e-16,-0.4999999999999998
27,25,0.8000000000000002,0.9428499740259739,0.0,0.8000000000000002,0.04572002077922099,-0.454279979220779
17,26,0.752,0.8775857489177489,0.0,0.752,0.049931400865800835,-0.45006859913419917
12,5,0.20000000000000004,0.25077323297571996,0.34782608698487716,0.20000000000000004,-0.0006185863805759362,-0.32670554288813736
30,13,0.8000000000000002,0.998,0.0,0.8000000000000002,0.0016000000000001569,-0.49839999999999984
10,29,0.7700000000000002,0.8841750432900433,0.0,0.7700000000000002,0.06265996536796559,-0.4373400346320344
12,18,0.8000000000000002,0.9453108571428569,0.0,0.8000000000000002,0.04375131428571455,-0.45624868571428545
37,2,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
20,12,0.8000000000000002,0.9519999999999998,0.0,0.8000000000000002,0.03840000000000021,-0.4615999999999998
35,17,0.512,0.5880883717396257,0.0,0.512,0.041529302608299457,-0.45847069739170054
26,18,0.488,0.5510545007881248,0.0,0.488,0.04715639936950011,-0.4528436006304999
28,27,0.8000000000000002,0.98908,0.0,0.8000000000000002,0.008736000000000188,-0.4912639999999998
21,2,0.8000000000000002,0.9635108571428571,0.0,0.8000000000000002,0.02919131428571442,-0.4708086857142856
4,14,0.39199999999999996,0.6546295953520165,0.22434782608763704,0.39199999999999996,-0.13170367628161322,-0.5195297632377947
34,5,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
3,9,0.752,0.8649264761904764,0.04695652174056711,0.752,0.060058819047618894,-0.41646292008209757
17,6,0.5840000000000001,0.6606347352874163,0.05217391305686201,0.5840000000000001,0.055492211770067024,-0.41842083170150196
24,28,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
38,14,0.8000000000000002,0.9755400000000001,0.0,0.8000000000000002,0.01956800000000003,-0.48043199999999997
22,19,0.46399999999999997,0.5236952249607977,0.0,0.46399999999999997,0.045043820031361814,-0.4549561799686382
2,26,0.5359999999999999,0.6036964636993554,0.0,0.5359999999999999,0.053042829040515604,-0.4469571709594844
16,2,0.512,0.5814493301435407,0.0521739130620794,0.512,0.0468405358851674,-0.4270725075837929
8,8,0.22400000000000003,0.2746901692319616,0.6052173913197731,0.22400000000000003,0.004247864614430746,-0.19314343972568268
30,23,0.48800000000000004,0.5529194772145429,0.0,0.48800000000000004,0.0456644182283657,-0.4543355817716343
18,17,0.8000000000000002,0.9164234285714286,0.0,0.8000000000000002,0.06686125714285729,-0.4331387428571427
6,0,0.8000000000000003,0.9420488888888889,0.0,0.8000000000000003,0.04636088888888912,-0.4536391111111109
16,29,0.8000000000000002,0.9908999999999999,0.0,0.8000000000000002,0.007280000000000175,-0.4927199999999998
16,13,0.8000000000000002,0.9841679999999999,0.0,0.8000000000000002,0.012665600000000166,-0.48733439999999983
26,23,0.5840000000000001,0.6720162998405104,0.0,0.5840000000000001,0.0463869601275918,-0.4536130398724082
22,24,0.728,0.8436884155844154,0.0,0.728,0.05304926753246764,-0.44695073246753236
6,2,0.728,0.8382950476190476,0.0591304347852552,0.728,0.057363961904761895,-0.41307082070261053
16,0,0.7200000000000002,0.7998529148629147,0.01449275362835539,0.7200000000000002,0.08011766810966847,-0.41263595507615386
29,22,0.4160000000000001,0.47115250670270187,0.0,0.4160000000000001,0.039077994637838565,-0.46092200536216144
11,2,0.41600000000000004,0.47195353135920476,0.17391304349852552,0.41600000000000004,0.03843717491263621,-0.374606303338101
39,27,0.8000000000000002,0.9575766666666666,0.0,0.8000000000000002,0.033938666666666784,-0.4660613333333332
29,9,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
35,22,0.22400000000000003,0.2757061820783067,0.0,0.22400000000000003,0.003435054337354637,-0.49656494566264536
19,3,0.6560000000000001,0.754377142857143,0.015652173922797732,0.6560000000000001,0.05249828571428572,-0.4396756273243154
35,15,0.728,0.8628078787878788,0.0,0.728,0.03775369696969688,-0.4622463030303031
14,19,0.7760000000000001,0.9130824761904762,0.0,0.7760000000000001,0.04553401904761911,-0.4544659809523809
26,12,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
23,11,0.8000000000000002,1.0,0.0,0.8000000000000002,1.1102230246251565e-16,-0.4999999999999999
6,12,0.36800000000000005,0.5128986449760765,0.5165217391340643,0.36800000000000005,-0.04231891598086118,-0.28405804641382904
11,15,0.6800000000000002,0.8013801298701299,0.08347826087115312,0.6800000000000002,0.03889589610389621,-0.41936497346052726
28,15,0.8000000000000002,0.9512314285714285,0.0,0.8000000000000002,0.03901485714285735,-0.46098514285714265
10,10,0.20000000000000004,0.251279849159052,0.6521739130586012,0.20000000000000004,-0.0010238793272415725,-0.17493692279794099
